BuildingName,BuildingAddress,BuildingType,BuildingSize,PublicSector,YearObtainedTOP_CSC,GreenMarkYearofAward,GreenMarkRating,GreenMarkStatus,GrossFloorArea_M2,PercentageOfAirconditionedFloorArea,AverageMonthlyBuildingOccupancyRate_percentage,NumberOfHotelRooms,TypeOfAirconditioningSystem,AgeOfNewestChiller_Airconditioner,CentralisedAirconditioningPlantEfficiency_kWRT,YearOfLastChillerPlantAuditHealthCheck,PercentageUsageOfLED,InstallationOfSolarPV,EUI2015_kWhM2Yr,EUI2016_kWhM2Yr,EUI2017_kWhM2Yr,EUIPerformanceComparedToPreviousYear,Benchmarking_EUI_Quartile,VoluntaryDisclosure,BuildingAge,TotalEnergy2017
LLOYDS INN,"2 LLOYD ROAD, SINGAPORE 239091",Hotel,Small,No,2014,,Not Certified,No,1126,45,87,34,"Others (Split Units, Unitary Systems)",3,,,27,N,273.5,328.2,312.1,Improved,3rd Quartile,Y,4,351424.60000000003
,"488 GEYLANG ROAD, SINGAPORE 389447",Hotel,Small,No,2005,,Not Certified,No,507,71,50,16,"Others (Split Units, Unitary Systems)",7,,,0,N,85.4,84.9,98.4,Worsened,Top Quartile,Y,13,49888.8
,,Office Building,Large,,,,,No,,,,,,,,,,,174,176,173,Improved,2nd Quartile,N,,
MANDARIN ORCHARD SINGAPORE,"333 ORCHARD ROAD, SINGAPORE 238867",Hotel,Large,No,1970,2016,Certified,Yes,127860,97,86,1077,Water Cooled Chilled Water Plant,8,0.8,2016,80,N,233.4,217.9,220.2,Worsened,Top Quartile,Y,48,28154772
,,Office Building,Small,,,,,No,,,,,,,,,,,292.9,298.4,251.6,Improved,3rd Quartile,N,,
ORCHARD TOWERS,"400 ORCHARD ROAD, SINGAPORE 238875",Mixed Development,,No,1975,2016,Certified,Yes,42809,88,85,,Water Cooled Chilled Water Plant,3,0.62,2017,35,N,188.7,182.4,173.8,Improved,Top Quartile,Y,43,7440204.2
BCH@301,"301 GEYLANG ROAD, SINGAPORE 389344",Office Building,Small,No,2012,,Not Certified,No,2785,37,45,,"Others (Split Units, Unitary Systems)",3,,,50,N,352.6,366.9,350,Improved,Bottom Quartile,Y,6,974750
PARKVIEW SQUARE,"600 NORTH BRIDGE ROAD, SINGAPORE 188778",Office Building,Large,No,2002,,Not Certified,No,39149,90,90,,Water Cooled Chilled Water Plant,16,,,48,N,229.7,208.7,229,Worsened,3rd Quartile,Y,16,8965121
STUDIO M HOTEL,"3 NANSON ROAD, SINGAPORE 238910",Hotel,Large,No,2010,2015,Gold,Yes,8210,85,75,360,"Others (Split Units, Unitary Systems)",7,1,2015,100,N,478.8,462.8,433.8,Improved,Bottom Quartile,Y,8,3561498
,"757 GEYLANG ROAD, SINGAPORE 389659",Hotel,Small,No,1996,,Not Certified,No,1661,100,60,51,"Others (Split Units, Unitary Systems)",6,,,100,N,272,275.3,264.6,Improved,3rd Quartile,Y,22,439500.60000000003
THE PARAGON,"290 ORCHARD ROAD, SINGAPORE 238859",Retail Building,Large,No,2005,,Not Certified,No,94403,84,100,,Water Cooled Chilled Water Plant,2,0.7,,100,N,441.5,423,401.7,Improved,2nd Quartile,Y,13,37921685.1
THE CLEMENTI MALL,"3155 COMMONWEALTH AVENUE WEST, SINGAPORE 129588",Retail Building,Large,No,2012,,Not Certified,No,26794,62,100,,Water Cooled Chilled Water Plant,6,1.09,2015,90,N,692.5,691,663.9,Improved,Bottom Quartile,Y,6,17788536.599999998
,,Office Building,Small,,,,,No,,,,,,,,,,,147,135.2,126.8,Improved,Top Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,298.4,319.7,308.8,Improved,3rd Quartile,N,,
BCA ACADEMY OF THE BUILT ENVIRONMENT,"200 BRADDELL ROAD, SINGAPORE 579700",Office Building,Large,Yes,1994,2014,Platinum,Yes,53422,39,85,1,Water Cooled Chilled Water Plant,1,,,23,Y,44,43.4,42.5,Improved,Top Quartile,Y,24,2270435
MARINA BAY SANDS,"1 BAYFRONT AVENUE, SINGAPORE 018971",Mixed Development,,No,2010,2015,Platinum,Yes,581511,100,98,2561,District Cooling Plant,8,,,86,N,313.9,305.8,301.1,Improved,3rd Quartile,Y,8,175092962.10000002
KATONG PLAZA,"1 BROOKE ROAD, SINGAPORE 429979",Retail Building,Small,No,1980,,Not Certified,No,5411,66,90,,Water Cooled Chilled Water Plant,33,,,100,N,241.2,242,241.1,Improved,2nd Quartile,Y,38,1304592.0999999999
THE BENCOOLEN,"180 BENCOOLEN STREET, SINGAPORE 189646",Retail Building,Large,No,1999,,Not Certified,No,29796,26,90,1,Air Cooled Chilled Water Plant,0,,,0,N,138.7,136,139.4,Worsened,Top Quartile,Y,19,4153562.4000000004
SGX CENTRE I,"2 SHENTON WAY, SINGAPORE 068804",Office Building,Large,No,2003,,Not Certified,No,29964,95,95,,Water Cooled Chilled Water Plant,13,,,15,N,290.5,312.3,314.5,Worsened,Bottom Quartile,Y,15,9423678
,,Office Building,Large,,,,,No,,,,,,,,,,,330.5,335.5,329.1,Improved,Bottom Quartile,N,,
SINGAPORE SHOPPING CENTRE,"190 CLEMENCEAU AVENUE, SINGAPORE 239924",Retail Building,Small,No,1982,2016,Gold,Yes,11256,98,98,,Water Cooled Chilled Water Plant,1,0.65,2015,100,N,206.5,160.2,171,Worsened,2nd Quartile,Y,36,1924776
PALAIS RENAISSANCE,"390 ORCHARD ROAD, SINGAPORE 238871",Mixed Development,,No,1991,2017,Platinum,Yes,16491,89,90,,Water Cooled Chilled Water Plant,1,0.59,2017,50,N,220.2,219.7,200.6,Improved,Top Quartile,Y,27,3308094.6
TONG BUILDING,"302 ORCHARD ROAD, SINGAPORE 238862",Office Building,Large,No,1982,,Not Certified,No,15153,82,70,,Water Cooled Chilled Water Plant,15,,,0,N,184.9,186.9,174.3,Improved,2nd Quartile,Y,36,2641167.9000000004
CHAN BROTHERS BUILDING,"452 NORTH BRIDGE ROAD, SINGAPORE 188733",Office Building,Small,No,1979,,Not Certified,No,955,91,95,,"Others (Split Units, Unitary Systems)",10,,,0,N,314.1,287.5,258.7,Improved,3rd Quartile,Y,39,247058.5
,"6 RAFFLES QUAY, SINGAPORE 048580",Office Building,Large,No,1992,,Not Certified,No,16105,100,90,,"Others (Split Units, Unitary Systems)",9,,,20,N,268.6,260.1,268.3,Worsened,Bottom Quartile,Y,26,4320971.5
,"501 OLD CHOA CHU KANG ROAD, SINGAPORE 698928",Office Building,Large,Yes,2005,,Not Certified,No,137488,45,100,,Water Cooled Chilled Water Plant,10,0.9,2008,2,N,137.5,136.2,132.5,Improved,Top Quartile,Y,13,18217160
,"47 PAGODA STREET, SINGAPORE 059206",Retail Building,Small,No,1993,,Not Certified,No,591,100,100,,"Others (Split Units, Unitary Systems)",2,,,50,N,502.1,525,477.9,Improved,3rd Quartile,Y,25,282438.89999999997
,,Office Building,Small,,,,,No,,,,,,,,,,,284.8,249.8,215,Improved,3rd Quartile,N,,
IBIS SINGAPORE NOVENA,"6 IRRAWADDY ROAD, SINGAPORE 329543",Hotel,Small,No,2011,2015,Platinum,Yes,6407,89,90,241,"Others (Split Units, Unitary Systems)",5,,,10,N,415.8,349.5,335.3,Improved,3rd Quartile,Y,7,2148267.1
THE ARDENNES,"11 JALAN KLAPA, SINGAPORE 199323",Hotel,Small,No,2011,,Not Certified,No,739,95,64,15,"Others (Split Units, Unitary Systems)",6,,,80,N,394.3,370.5,168.1,Improved,Top Quartile,Y,7,124225.9
,"2 JALAN PINANG, SINGAPORE 199150",Hotel,Small,No,1996,,Not Certified,No,314,100,30,26,"Others (Split Units, Unitary Systems)",4,,,100,N,102.1,102.6,99.5,Improved,Top Quartile,Y,22,31243
MAPLETREE BUSINESS CITY,"10 PASIR PANJANG ROAD, SINGAPORE 117438",Office Building,Large,No,2010,2016,Platinum,Yes,309099,91,62,,Water Cooled Chilled Water Plant,7,0.6,2017,20,Y,178.9,210.4,138,Improved,Top Quartile,Y,8,42655662
,,Retail Building,Large,,,,,No,,,,,,,,,,,258.5,260.9,236,Improved,Top Quartile,N,,
THE HOUSE OF EDEN,"4 ROBINSON ROAD, SINGAPORE 048543",Office Building,Small,No,1997,,Not Certified,No,4482,75,100,,Air Cooled Chilled Water Plant,21,,,15,N,157.8,204.8,204.9,Worsened,3rd Quartile,Y,21,918361.8
,,Hotel,Small,,,,,No,,,,,,,,,,,157.5,196,206.5,Worsened,2nd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,235.6,268.5,248.8,Improved,3rd Quartile,N,,
PKMS BUILDING,"218 CHANGI ROAD, SINGAPORE 419737",Office Building,Small,No,1962,,Not Certified,No,2807,53,75,,"Others (Split Units, Unitary Systems)",5,,,0,N,85.1,87.8,91.6,Worsened,Top Quartile,Y,56,257121.19999999998
BAY HOTEL SINGAPORE,"50 TELOK BLANGAH ROAD, SINGAPORE 098828",Hotel,Large,No,2012,,Not Certified,No,7262,93,83,319,"Others (Split Units, Unitary Systems)",6,,,75,N,397.4,421.6,395.7,Improved,Bottom Quartile,Y,6,2873573.4
,"36 PRINSEP STREET, SINGAPORE 188648",Office Building,Small,No,1995,,Not Certified,No,2647,100,80,,"Others (Split Units, Unitary Systems)",20,,,0,N,161.3,137.6,152.3,Worsened,2nd Quartile,Y,23,403138.10000000003
PARK REGIS SINGAPORE,"23 MERCHANT ROAD, SINGAPORE 058268",Hotel,Large,No,2010,,Not Certified,No,12306,80,87,202,"Others (Split Units, Unitary Systems)",7,,,55,N,427.4,406.2,386.7,Improved,Bottom Quartile,Y,8,4758730.2
,,Hotel,Large,,,,,Yes,,,,,,,,,,,345.7,365.6,389.7,Worsened,Bottom Quartile,N,,
BEA BUILDING,"60 ROBINSON ROAD, SINGAPORE 068892",Office Building,Small,No,2009,,Not Certified,No,7783,75,97,,Air Cooled Chilled Water Plant,8,,,25,N,322.4,322.4,304.7,Improved,Bottom Quartile,Y,9,2371480.1
WISMA ATRIA,"435 ORCHARD ROAD, SINGAPORE 238877",Retail Building,Large,No,1986,,Not Certified,No,40064,95,99,,Water Cooled Chilled Water Plant,15,0.81,2012,90,N,340.6,354.7,377.6,Worsened,2nd Quartile,Y,32,15128166.4
ICA BUILDING,"10 KALLANG ROAD, SINGAPORE 208718",Office Building,Large,Yes,1997,,Not Certified,No,37819,100,100,,Water Cooled Chilled Water Plant,2,,,17,N,347.8,344.7,329.6,Improved,Bottom Quartile,Y,21,12465142.4
,"347 BALESTIER ROAD, SINGAPORE 329777",Hotel,Small,No,1997,,Not Certified,No,1846,70,50,68,"Others (Split Units, Unitary Systems)",18,,,0,N,239.5,234.3,223.9,Improved,2nd Quartile,Y,21,413319.4
SP CORNER,"202 SERANGOON ROAD, SINGAPORE 218069",Retail Building,Small,No,2002,,Not Certified,No,939,69,70,,"Others (Split Units, Unitary Systems)",6,1.75,2017,90,N,288.3,317.8,312.1,Improved,2nd Quartile,Y,16,293061.9
,,Office Building,Large,,,,,Yes,,,,,,,,,,,163.8,163.8,158.3,Improved,2nd Quartile,N,,
,,Office Building,Large,,,,,Yes,,,,,,,,,,,247.2,244.9,235.9,Improved,3rd Quartile,N,,
SUMMER VIEW HOTEL,"173 BENCOOLEN STREET, SINGAPORE 189642",Hotel,Small,No,1997,,Not Certified,No,2631,70,85,86,"Others (Split Units, Unitary Systems)",3,,,90,N,263.4,258.3,224.6,Improved,2nd Quartile,Y,21,590922.6
,,Hotel,Small,,,,,No,,,,,,,,,,,260.3,259.6,251.1,Improved,3rd Quartile,N,,
FORUM,"583 ORCHARD ROAD, SINGAPORE 238884",Mixed Development,,No,1985,,Not Certified,No,24639,94,90,,Water Cooled Chilled Water Plant,8,0.62,2017,50,N,396,408.6,393.9,Improved,Bottom Quartile,Y,33,9705302.1
SENG KEE BUILDING,"20 MARTIN ROAD, SINGAPORE 239070",Office Building,Small,No,1998,,Not Certified,No,4129,100,100,,"Others (Split Units, Unitary Systems)",4,,,0,N,328.9,325,299.1,Improved,Bottom Quartile,Y,20,1234983.9000000001
SHERATON TOWERS HOTEL,"39 SCOTTS ROAD, SINGAPORE 228230",Hotel,Large,No,1985,2015,Platinum,Yes,31224,80,75,420,Water Cooled Chilled Water Plant,1,0.6,2016,85,N,330.4,284.6,250.2,Improved,2nd Quartile,Y,33,7812244.8
HOTEL COMPASS,"36 LORONG 22 GEYLANG, SINGAPORE 398693",Hotel,Small,No,1998,,Not Certified,No,1430,100,70,49,"Others (Split Units, Unitary Systems)",18,,,0,N,284.3,270.3,272,Worsened,3rd Quartile,Y,20,388960
,,Hotel,Large,,,,,Yes,,,,,,,,,,,236.9,216.8,217,Worsened,Top Quartile,N,,
,,Retail Building,Large,,,,,No,,,,,,,,,,,506.6,522.8,578.3,Worsened,Bottom Quartile,N,,
LAGUN SARI BUILDING,"381 JOO CHIAT ROAD, SINGAPORE 427621",Office Building,Small,No,1999,,Not Certified,No,1965,100,100,,"Others (Split Units, Unitary Systems)",2,,,7,N,193.7,210,192.4,Improved,3rd Quartile,Y,19,378066
,,Retail Building,Small,,,,,No,,,,,,,,,,,369.2,362.9,337.9,Improved,2nd Quartile,N,,
PHILIPPINES EMBASSY,"20 NASSIM ROAD, SINGAPORE 258395",Office Building,Small,No,1986,,Not Certified,No,650,85,100,,"Others (Split Units, Unitary Systems)",4,,,100,N,173.6,185.6,180.5,Improved,2nd Quartile,Y,32,117325
,,Office Building,Small,,,,,No,,,,,,,,,,,193.3,193,180.2,Improved,2nd Quartile,N,,
,,Retail Building,Large,,,,,No,,,,,,,,,,,255.2,259.2,239,Improved,2nd Quartile,N,,
PEOPLES ASSOCIATION,"9 KING GEORGES AVENUE, SINGAPORE 208581",Office Building,Small,Yes,2009,2009,GoldPlus,Yes,14647,87,100,,Water Cooled Chilled Water Plant,8,0.76,,0,Y,149.9,145.9,146.6,Worsened,2nd Quartile,Y,9,2147250.1999999997
PEACE CENTRE,"1 SOPHIA ROAD, SINGAPORE 228149",Office Building,Large,No,1979,,Not Certified,No,36800,92,90,,Water Cooled Chilled Water Plant,10,,,0,N,275.4,288.1,255.3,Improved,Bottom Quartile,Y,39,9395040
,"18 SCIENCE PARK DRIVE, SINGAPORE 118229",Office Building,Large,No,1992,,Not Certified,No,16155,79,80,,Water Cooled Chilled Water Plant,5,0.69,2014,0,N,1098.3,1095.3,1077.7,Improved,Bottom Quartile,Y,26,17410243.5
LUBRITRADE BUILDING,"408 NORTH BRIDGE ROAD, SINGAPORE 188725",Office Building,Small,No,2003,,Not Certified,No,1827,63,100,,"Others (Split Units, Unitary Systems)",4,,,0,N,292.5,259.7,236.3,Improved,3rd Quartile,Y,15,431720.10000000003
SEACARE BUILDING,"52 CHIN SWEE ROAD, SINGAPORE 169875",Mixed Development,,No,1968,,Not Certified,No,6508,90,78,103,"Others (Split Units, Unitary Systems)",4,,,84,N,218.7,222.1,205.7,Improved,2nd Quartile,Y,50,1338695.5999999999
AXA TOWER,"8 SHENTON WAY, SINGAPORE 068811",Office Building,Large,No,1987,2012,Platinum,Yes,95625,97,92,,Water Cooled Chilled Water Plant,11,0.7,,57,N,157.7,164.4,156.1,Improved,2nd Quartile,Y,31,14927062.5
,"8 INTERNATIONAL BUSINESS PARK, SINGAPORE 609925",Office Building,Small,No,1995,,Not Certified,No,8288,72,100,,Air Cooled Chilled Water Plant,4,,,40,N,903.1,1005.6,1007.6,Worsened,Bottom Quartile,Y,23,8350988.8
MARINA BAY FINANCIAL CENTRE,"8 MARINA BOULEVARD, SINGAPORE 018981",Mixed Development,,No,2009,2017,Platinum,Yes,338032,94,100,,District Cooling Plant,7,,,5,N,228.3,224.1,215.7,Improved,2nd Quartile,Y,9,72913502.39999999
,,Hotel,Small,,,,,No,,,,,,,,,,,281.9,288.9,300.3,Worsened,3rd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,354.7,389.3,364.7,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,217.6,216.4,205.2,Improved,2nd Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,448.6,403.7,371.4,Improved,Bottom Quartile,N,,
,,Hotel,Small,,,,,No,,,,,,,,,,,401.3,381.5,369.4,Improved,Bottom Quartile,N,,
,,Office Building,Large,,,,,Yes,,,,,,,,,,,443.7,424.8,453.2,Worsened,Bottom Quartile,N,,
SOUTH EAST ASIA HOTEL,"190 WATERLOO STREET, SINGAPORE 187965",Hotel,Small,No,1953,,Not Certified,No,1755,57,39,51,"Others (Split Units, Unitary Systems)",16,,,21,N,247.1,235.3,202.3,Improved,2nd Quartile,Y,65,355036.5
GOLDEN ROYAL HOTEL,"51 DESKER ROAD, SINGAPORE 209645",Hotel,Small,No,2000,,Not Certified,No,1796,50,50,54,"Others (Split Units, Unitary Systems)",1,,,0,N,125.8,146.6,179.2,Worsened,Top Quartile,Y,18,321843.19999999995
MOON 23 HOTEL,"23 DICKSON ROAD, SINGAPORE 209507",Hotel,Small,No,2010,,Not Certified,No,1697,100,65,80,"Others (Split Units, Unitary Systems)",6,,,100,N,280.4,306.9,322.7,Worsened,3rd Quartile,Y,8,547621.9
,"88 SYED ALWI ROAD, SINGAPORE 207667",Hotel,Small,No,1998,,Not Certified,No,1088,64,55,44,"Others (Split Units, Unitary Systems)",20,,,0,N,475.5,470.8,471.9,Worsened,Bottom Quartile,Y,20,513427.19999999995
BALMORAL PLAZA,"271 BUKIT TIMAH ROAD, SINGAPORE 259708",Retail Building,Small,No,1990,,Not Certified,No,12349,63,90,,Water Cooled Packaged Unit,,,,60,N,278.2,253.2,224.9,Improved,2nd Quartile,Y,28,2777290.1
"LE MERIDIEN SINGAPORE, SENTOSA","23 BEACH VIEW, SINGAPORE 098679",Hotel,Large,No,2011,,Not Certified,No,10453,67,84,191,"Others (Split Units, Unitary Systems)",7,,,70,N,553,553.4,545.7,Improved,Bottom Quartile,Y,7,5704202.100000001
CRESCENT BUILDING,"320 BALESTIER ROAD, SINGAPORE 329924",Retail Building,Small,No,1995,,Not Certified,No,1588,76,90,,"Others (Split Units, Unitary Systems)",9,,,0,N,190.5,170.6,158.5,Improved,2nd Quartile,Y,23,251698
321 CLEMENTI,"321 CLEMENTI AVENUE 3, SINGAPORE 129905",Retail Building,Small,No,2016,2015,Platinum,Yes,7564,75,80,,Water Cooled Chilled Water Plant,1,,,60,Y,210.3,356.5,328.3,Improved,2nd Quartile,Y,2,2483261.2
,"61 ANG MO KIO AVENUE 8, SINGAPORE 569814",Retail Building,Small,No,2011,,Not Certified,No,5096,98,100,,Water Cooled Packaged Unit,,,,100,N,406.4,413.4,436.4,Worsened,3rd Quartile,Y,7,2223894.4
,,Hotel,Large,,,,,No,,,,,,,,,,,290.6,297.6,282.2,Improved,3rd Quartile,N,,
,,Hotel,Large,,,,,Yes,,,,,,,,,,,113.4,100.3,94.1,Improved,Top Quartile,N,,
SULTAN PLAZA,"100 JALAN SULTAN, SINGAPORE 199001",Office Building,Large,No,1985,,Not Certified,No,17034,94,95,,Water Cooled Chilled Water Plant,18,,,0,N,298.6,287.5,267.2,Improved,Bottom Quartile,Y,33,4551484.8
NEHSONS BUILDING,"24 PECK SEAH STREET, SINGAPORE 079314",Office Building,Small,No,1970,,Not Certified,No,6689,63,90,,Water Cooled Packaged Unit,,,,0,N,195.9,194.7,177.8,Improved,2nd Quartile,Y,48,1189304.2000000002
,"441 BALESTIER ROAD, SINGAPORE 329820",Mixed Development,,No,1997,,Not Certified,No,910,83,100,,"Others (Split Units, Unitary Systems)",1,,,65,N,225.6,245.6,255.8,Worsened,2nd Quartile,Y,21,232778
,,Office Building,Small,,,,,No,,,,,,,,,,,124.6,120.4,116.2,Improved,Top Quartile,N,,
WINSLAND HOUSE II,"163 PENANG ROAD, SINGAPORE 238463",Office Building,Large,No,1997,2014,GoldPlus,Yes,18451,73,95,,Water Cooled Chilled Water Plant,3,0.64,2013,30,N,201,200.1,168.3,Improved,2nd Quartile,Y,21,3105303.3000000003
WINSLAND HOUSE I,"3 KILLINEY ROAD, SINGAPORE 239519",Office Building,Large,No,1991,2017,GoldPlus,Yes,21055,76,95,,Water Cooled Chilled Water Plant,1,0.6,2015,10,N,191.2,179.3,151.7,Improved,Top Quartile,Y,27,3194043.4999999995
THE CENTREPOINT,"176 ORCHARD ROAD, SINGAPORE 238843",Retail Building,Large,No,1983,,Not Certified,No,53196,81,75,,Water Cooled Chilled Water Plant,9,,,16,N,283.7,264.5,356.5,Worsened,2nd Quartile,Y,35,18964374
,,Hotel,Small,,,,,No,,,,,,,,,,,347.6,333.5,296.5,Improved,3rd Quartile,N,,
,"40 AMBER ROAD, SINGAPORE 439878",Hotel,Small,No,1947,,Not Certified,No,638,94,70,25,"Others (Split Units, Unitary Systems)",4,,,0,N,211.3,205.1,206.8,Worsened,2nd Quartile,Y,71,131938.4
CHIAT HONG BUILDING,"110 MIDDLE ROAD, SINGAPORE 188968",Office Building,Small,No,1975,,Not Certified,No,2997,100,95,,Water Cooled Packaged Unit,,,,0,N,222.7,209.1,200.5,Improved,3rd Quartile,Y,43,600898.5
,"246 BALESTIER ROAD, SINGAPORE 329706",Hotel,Small,No,1955,,Not Certified,No,993,90,80,9999,"Others (Split Units, Unitary Systems)",3,,,0,N,181,180.4,160.2,Improved,Top Quartile,Y,63,159078.59999999998
,"8 LOWER DELTA ROAD, SINGAPORE 169198",Office Building,Small,Yes,2003,,Not Certified,No,9507,84,55,,"Others (Split Units, Unitary Systems)",10,,,0,N,327.8,441.3,597,Worsened,Bottom Quartile,Y,15,5675679
,"298 JALAN BUKIT HO SWEE, SINGAPORE 169565",Office Building,Small,Yes,2003,,Not Certified,No,7860,75,100,,"Others (Split Units, Unitary Systems)",9,,,0,N,74.2,77.9,62.9,Improved,Top Quartile,Y,15,494394
,,Office Building,Small,,,,,No,,,,,,,,,,,226.8,230.8,225,Improved,3rd Quartile,N,,
,,Hotel,Large,,,,,No,,,,,,,,,,,330.9,246.6,186.6,Improved,Top Quartile,N,,
,,Hotel,Large,,,,,No,,,,,,,,,,,303.6,305.5,310.2,Worsened,3rd Quartile,N,,
,"1 THE KNOLLS, SINGAPORE 098297",Hotel,Large,No,2008,,Not Certified,No,42461,79,73,193,Water Cooled Chilled Water Plant,7,,,5,N,347.9,360.5,360.5,Worsened,Bottom Quartile,Y,10,15307190.5
ROBINSON 112,"112 ROBINSON ROAD, SINGAPORE 068902",Office Building,Small,No,2004,,Not Certified,No,10720,84,95,,Water Cooled Packaged Unit,2,,,5,N,231.2,210.8,200.4,Improved,3rd Quartile,Y,14,2148288
ANSON CENTRE,"51 ANSON ROAD, SINGAPORE 079904",Office Building,Small,No,1974,,Not Certified,No,8675,80,65,,Water Cooled Chilled Water Plant,19,,,0,N,181.4,169.9,160.8,Improved,2nd Quartile,Y,44,1394940
MAXWELL HOUSE,"20 MAXWELL ROAD, SINGAPORE 069113",Office Building,Large,No,1975,,Not Certified,No,16608,100,98,,Water Cooled Chilled Water Plant,17,,,0,N,163.2,158,153,Improved,2nd Quartile,Y,43,2541024
PACIFIC PLAZA,"9 SCOTTS ROAD, SINGAPORE 228210",Mixed Development,,No,1997,,Not Certified,No,10938,75,80,,Air Cooled Chilled Water Plant,4,,,61,N,309.4,347.1,426.9,Worsened,Bottom Quartile,Y,21,4669432.2
ORCHARD PARADE HOTEL,"1 TANGLIN ROAD, SINGAPORE 247905",Hotel,Large,No,1977,2014,Gold,Yes,26657,99,85,388,Water Cooled Chilled Water Plant,2,0.68,2015,25,N,278.4,265.8,247,Improved,2nd Quartile,Y,41,6584279
THE ELIZABETH,"24 MOUNT ELIZABETH, SINGAPORE 228518",Hotel,Large,No,1993,,Not Certified,No,16872,100,85,364,Water Cooled Chilled Water Plant,9,,,60,N,288.1,284.3,270.3,Improved,3rd Quartile,Y,25,4560501.600000001
SUPREME COURT BUILDING,"1 SUPREME COURT LANE, SINGAPORE 178879",Office Building,Large,Yes,2005,,Not Certified,No,58824,74,100,,Water Cooled Chilled Water Plant,12,0.86,2013,2,N,154.7,159.5,153.5,Improved,2nd Quartile,Y,13,9029484
WEST COAST PLAZA,"154 WEST COAST ROAD, SINGAPORE 127371",Retail Building,Large,No,2008,,Not Certified,No,20713,85,83,,Water Cooled Chilled Water Plant,9,,,50,N,491.1,464,422.5,Improved,3rd Quartile,Y,10,8751242.5
,"443 GEYLANG ROAD, SINGAPORE 389403",Hotel,Small,No,1982,,Not Certified,No,1414,80,80,55,"Others (Split Units, Unitary Systems)",17,,,0,N,158.2,148.9,142.2,Improved,Top Quartile,Y,36,201070.8
RIVERSIDE POINT,"30 MERCHANT ROAD, SINGAPORE 058282",Office Building,Small,No,1996,,Not Certified,No,13128,68,75,,Water Cooled Chilled Water Plant,18,0.82,,0,N,419.4,427.5,409.6,Improved,Bottom Quartile,Y,22,5377228.800000001
COLLEGE OF MEDICINE BUILDING,"16 COLLEGE ROAD, SINGAPORE 169854",Office Building,Large,Yes,1926,,Not Certified,No,17137,98,100,,Air Cooled Chilled Water Plant,30,0.94,2015,0,N,118.4,119.2,121.4,Worsened,Top Quartile,Y,92,2080431.8
ISCA HOUSE,"60 CECIL STREET, SINGAPORE 049709",Office Building,Small,No,1979,,Not Certified,No,2644,100,100,,"Others (Split Units, Unitary Systems)",4,,,5,N,294.7,297.3,278,Improved,Bottom Quartile,Y,39,735032
BOC PLAZA,"133 MIDDLE ROAD, SINGAPORE 188974",Office Building,Small,No,1983,,Not Certified,No,4736,100,60,,"Others (Split Units, Unitary Systems)",18,,,5,N,271.9,268.4,188.2,Improved,3rd Quartile,Y,35,891315.2
BANK OF CHINA BUILDING,"4 BATTERY ROAD, SINGAPORE 049908",Office Building,Large,No,1953,,Not Certified,No,15480,100,95,,"Others (Split Units, Unitary Systems)",17,,,10,N,382.6,373.3,366.5,Improved,Bottom Quartile,Y,65,5673420
,"32 LORONG 8 GEYLANG, SINGAPORE 399096",Hotel,Small,No,1998,,Not Certified,No,1944,67,80,63,"Others (Split Units, Unitary Systems)",,,,78,N,187.7,202,208.8,Worsened,2nd Quartile,Y,20,405907.2
,,Office Building,Small,,,,,No,,,,,,,,,,,240.7,249.7,261,Worsened,Bottom Quartile,N,,
FORTUNA HOTEL,"2 OWEN ROAD, SINGAPORE 218842",Hotel,Small,No,1995,,Not Certified,No,4458,97,85,105,"Others (Split Units, Unitary Systems)",3,,,10,N,252,217.9,207.1,Improved,2nd Quartile,Y,23,923251.7999999999
KINGLY BUILDING,"46 SOUTH BRIDGE ROAD, SINGAPORE 058679",Office Building,Small,No,1998,,Not Certified,No,1058,76,90,,"Others (Split Units, Unitary Systems)",0,,,0,N,122.3,125.2,211,Worsened,3rd Quartile,Y,20,223238
HONG LEONG BUILDING,"16 RAFFLES QUAY, SINGAPORE 048581",Office Building,Large,No,1980,,Not Certified,No,47744,92,96,,Water Cooled Chilled Water Plant,8,0.7,2010,25,N,286.4,268.4,266.5,Improved,Bottom Quartile,Y,38,12723776
OXFORD HOTEL,"218 QUEEN STREET, SINGAPORE 188549",Hotel,Small,No,1997,,Not Certified,No,4914,94,70,134,"Others (Split Units, Unitary Systems)",4,,,0,N,253.7,261.2,283.8,Worsened,3rd Quartile,Y,21,1394593.2
WISMA ALSAGOFF,"520 NORTH BRIDGE ROAD, SINGAPORE 188742",Office Building,Small,No,2002,,Not Certified,No,2013,62,100,,"Others (Split Units, Unitary Systems)",10,,,10,N,150.2,134.4,187.6,Worsened,2nd Quartile,Y,16,377638.8
THE OCTAGON,"105 CECIL STREET, SINGAPORE 069534",Office Building,Large,No,1982,2016,Certified,Yes,16222,82,85,,Water Cooled Chilled Water Plant,2,0.68,2017,10,N,186.1,131.1,126.7,Improved,Top Quartile,Y,36,2055327.4000000001
